행정구역,신혼수_21,신혼증감_21,신혼증감률_21
충청북도 청원구,4383,-380,-8.0
충청북도 보은군,211,-38,-15.3
충청북도 옥천군,372,-21,-5.3
충청북도 영동군,342,-86,-20.1
충청북도 진천군,1642,-127,-7.2
충청북도 괴산군,228,-49,-17.7
충청북도 음성군,963,-191,-16.6
충청북도 단양군,192,-26,-11.9
충청북도 증평군,618,-78,-11.2
충청남도 소계,34004,-3312,-8.9
충청남도 천안시,14149,-1584,-10.1
충청남도 동남구,4044,-527,-11.5
충청남도 서북구,10106,-1056,-9.5
충청남도 공주시,988,-70,-6.6
충청남도 보령시,1055,-119,-10.1
충청남도 아산시,6208,-217,-3.4
충청남도 서산시,3206,-302,-8.6
충청남도 논산시,1183,-168,-12.4
충청남도 계룡시,499,-16,-3.1
충청남도 당진시,2902,-341,-10.5
충청남도 금산군,320,-62,-16.2
충청남도 부여군,364,-64,-15.0
충청남도 서천군,318,-45,-12.4
충청남도 청양군,192,-9,-4.5
충청남도 홍성군,1434,-188,-11.6
충청남도 예산군,640,-75,-10.5
충청남도 태안군,550,-51,-8.5
전라북도 소계,22666,-1914,-7.8
전라북도 전주시,10711,-649,-5.7
전라북도 완산구,4662,-448,-8.8
전라북도 덕진구,6050,-200,-3.2
전라북도 군산시,3520,-337,-8.7
전라북도 익산시,3045,-335,-9.9
전라북도 정읍시,947,-107,-10.2
전라북도 남원시,774,-110,-12.4
전라북도 김제시,655,-29,-4.2
전라북도 완주군,1083,-67,-5.8
전라북도 진안군,218,-44,-16.8
전라북도 무주군,212,-8,-3.6
전라북도 장수군,177,-34,-16.1
전라북도 임실군,268,-21,-7.3
전라북도 순창군,222,-72,-24.5
전라북도 고창군,432,-47,-9.8
전라북도 부안군,404,-55,-12.0
전라남도 소계,23618,-1993,-7.8
전라남도 목포시,2626,-382,-12.7
전라남도 여수시,3882,-423,-9.8
전라남도 순천시,4675,-245,-5.0
전라남도 나주시,2312,-67,-2.8
전라남도 광양시,2504,-183,-6.8
전라남도 담양군,431,-5,-1.1
전라남도 곡성군,157,-29,-15.6
전라남도 구례군,155,-28,-15.3
전라남도 고흥군,438,-70,-13.8
전라남도 보성군,237,-34,-12.5
전라남도 화순군,557,-13,-2.3
전라남도 장흥군,338,-35,-9.4
전라남도 강진군,267,-41,-13.3
전라남도 해남군,653,-135,-17.1
전라남도 영암군,486,-133,-21.5
전라남도 무안군,1591,222,16.2
