행정주소,총인구,세대수,세대당인구,남자인구,여자인구,남여비율
경상북도 김천시 구성면,"2,705","1,629",1.66,"1,358","1,347",1.01
경상북도 김천시 지례면,"1,487",890,1.67,738,749,0.99
경상북도 김천시 부항면,"1,228",747,1.64,613,615,1.0
경상북도 김천시 대덕면,"2,266","1,483",1.53,"1,125","1,141",0.99
경상북도 김천시 증산면,995,612,1.63,482,513,0.94
경상북도 김천시 자산동,"6,286","3,600",1.75,"3,188","3,098",1.03
경상북도 김천시 평화남산동,"7,225","4,242",1.7,"3,525","3,700",0.95
경상북도 김천시 양금동,"3,694","1,973",1.87,"1,799","1,895",0.95
경상북도 김천시 대신동,"24,755","11,573",2.14,"12,232","12,523",0.98
경상북도 김천시 대곡동,"19,897","9,606",2.07,"10,047","9,850",1.02
경상북도 김천시 지좌동,"10,866","5,312",2.05,"5,564","5,302",1.05
경상북도 김천시 율곡동,"23,441","9,475",2.47,"11,759","11,682",1.01
경상북도 안동시,"153,843","78,153",1.97,"76,007","77,836",0.98
경상북도 안동시 풍산읍,"6,220","3,546",1.75,"3,157","3,063",1.03
경상북도 안동시 와룡면,"3,924","2,145",1.83,"2,034","1,890",1.08
경상북도 안동시 북후면,"2,826","1,732",1.63,"1,474","1,352",1.09
경상북도 안동시 서후면,"3,515","2,006",1.75,"1,855","1,660",1.12
경상북도 안동시 풍천면,"7,182","4,203",1.71,"3,664","3,518",1.04
경상북도 안동시 일직면,"2,554","1,482",1.72,"1,234","1,320",0.93
경상북도 안동시 남후면,"1,665",984,1.69,839,826,1.02
경상북도 안동시 남선면,"2,032","1,135",1.79,"1,043",989,1.05
경상북도 안동시 임하면,"2,689","1,698",1.58,"1,419","1,270",1.12
경상북도 안동시 길안면,"2,641","1,614",1.64,"1,341","1,300",1.03
경상북도 안동시 임동면,"1,669","1,018",1.64,865,804,1.08
경상북도 안동시 예안면,"1,753","1,045",1.68,907,846,1.07
경상북도 안동시 도산면,"1,484",909,1.63,782,702,1.11
경상북도 안동시 녹전면,"1,666",966,1.72,859,807,1.06
경상북도 안동시 중구동,"4,900","2,838",1.73,"2,411","2,489",0.97
경상북도 안동시 명륜동,"4,837","2,480",1.95,"2,325","2,512",0.93
경상북도 안동시 용상동,"21,858","10,731",2.04,"10,852","11,006",0.99
경상북도 안동시 서구동,"8,569","4,258",2.01,"4,112","4,457",0.92
경상북도 안동시 태화동,"12,517","6,382",1.96,"6,191","6,326",0.98
경상북도 안동시 평화동,"6,056","2,974",2.04,"2,902","3,154",0.92
경상북도 안동시 안기동,"6,075","2,867",2.12,"3,005","3,070",0.98
경상북도 안동시 옥동,"20,878","9,599",2.18,"9,872","11,006",0.9
경상북도 안동시 송하동,"15,755","7,170",2.2,"7,667","8,088",0.95
경상북도 안동시 강남동,"10,578","4,371",2.42,"5,197","5,381",0.97
경상북도 구미시,"406,785","186,353",2.18,"209,669","197,116",1.06
경상북도 구미시 선산읍,"14,178","6,774",2.09,"7,021","7,157",0.98
경상북도 구미시 고아읍,"38,130","15,270",2.5,"19,179","18,951",1.01
경상북도 구미시 산동읍,"27,308","10,559",2.59,"14,227","13,081",1.09
경상북도 구미시 무을면,"1,813","1,043",1.74,910,903,1.01
경상북도 구미시 옥성면,"1,678",930,1.8,862,816,1.06
경상북도 구미시 도개면,"2,115","1,167",1.81,"1,087","1,028",1.06
경상북도 구미시 해평면,"3,868","2,143",1.8,"2,056","1,812",1.13
경상북도 구미시 장천면,"2,874","1,543",1.86,"1,484","1,390",1.07
경상북도 구미시 송정동,"23,337","10,815",2.16,"11,445","11,892",0.96
경상북도 구미시 원평동,"5,877","4,112",1.43,"3,215","2,662",1.21
경상북도 구미시 도량동,"28,134","11,942",2.36,"13,663","14,471",0.94
경상북도 구미시 지산동,"1,999","1,037",1.93,"1,027",972,1.06
경상북도 구미시 선주원남동,"38,326","16,977",2.26,"19,425","18,901",1.03
경상북도 구미시 형곡1동,"13,504","5,834",2.31,"6,646","6,858",0.97
경상북도 구미시 형곡2동,"16,155","7,346",2.2,"8,037","8,118",0.99
경상북도 구미시 신평1동,"4,310","2,509",1.72,"2,420","1,890",1.28
경상북도 구미시 신평2동,"3,033","1,485",2.04,"1,620","1,413",1.15
경상북도 구미시 비산동,"12,942","5,537",2.34,"6,776","6,166",1.1
경상북도 구미시 광평동,"4,222","2,157",1.96,"2,312","1,910",1.21
경상북도 구미시 상모사곡동,"30,352","13,458",2.26,"15,914","14,438",1.1
경상북도 구미시 임오동,"18,233","7,479",2.44,"9,538","8,695",1.1
경상북도 구미시 인동동,"47,300","23,032",2.05,"24,759","22,541",1.1
경상북도 구미시 진미동,"16,961","11,785",1.44,"9,476","7,485",1.27
경상북도 구미시 양포동,"45,860","19,303",2.38,"24,198","21,662",1.12
경상북도 구미시 공단동,"4,276","2,116",2.02,"2,372","1,904",1.25
