행정주소,총인구,세대수,세대당인구,남자인구,여자인구,남여비율
서울특별시,"9,418,885","4,467,999",2.11,"4,560,702","4,858,183",0.94
서울특별시 종로구,"140,601","72,584",1.94,"67,923","72,678",0.93
서울특별시 종로구 청운효자동,"11,517","5,109",2.25,"5,282","6,235",0.85
서울특별시 종로구 사직동,"9,104","4,580",1.99,"4,040","5,064",0.8
서울특별시 종로구 삼청동,"2,291","1,137",2.01,"1,094","1,197",0.91
서울특별시 종로구 부암동,"9,133","4,127",2.21,"4,319","4,814",0.9
서울특별시 종로구 평창동,"17,464","7,215",2.42,"8,143","9,321",0.87
서울특별시 종로구 무악동,"8,000","3,013",2.66,"3,681","4,319",0.85
서울특별시 종로구 교남동,"9,759","4,385",2.23,"4,488","5,271",0.85
서울특별시 종로구 가회동,"3,926","1,937",2.03,"1,824","2,102",0.87
서울특별시 종로구 종로1.2.3.4가동,"6,722","4,951",1.36,"4,091","2,631",1.55
서울특별시 종로구 종로5.6가동,"5,426","3,620",1.5,"2,867","2,559",1.12
서울특별시 종로구 이화동,"7,031","4,288",1.64,"3,340","3,691",0.9
서울특별시 종로구 혜화동,"16,080","9,222",1.74,"7,699","8,381",0.92
서울특별시 종로구 창신제1동,"4,611","2,692",1.71,"2,439","2,172",1.12
서울특별시 종로구 창신제2동,"7,598","3,996",1.9,"3,911","3,687",1.06
서울특별시 종로구 창신제3동,"6,417","2,772",2.31,"3,145","3,272",0.96
서울특별시 종로구 숭인제1동,"5,768","2,978",1.94,"2,784","2,984",0.93
서울특별시 종로구 숭인제2동,"9,754","6,562",1.49,"4,776","4,978",0.96
서울특별시 중구,"121,346","64,260",1.89,"58,845","62,501",0.94
서울특별시 중구 소공동,"2,215","1,260",1.76,"1,051","1,164",0.9
서울특별시 중구 회현동,"4,470","2,548",1.75,"2,326","2,144",1.08
서울특별시 중구 명동,"2,698","1,440",1.87,"1,149","1,549",0.74
서울특별시 중구 필동,"3,958","2,449",1.62,"2,050","1,908",1.07
서울특별시 중구 장충동,"4,591","2,869",1.6,"2,411","2,180",1.11
서울특별시 중구 광희동,"5,675","3,848",1.47,"2,829","2,846",0.99
서울특별시 중구 을지로동,"2,515","1,816",1.38,"1,431","1,084",1.32
서울특별시 중구 신당동,"7,512","4,748",1.58,"3,705","3,807",0.97
서울특별시 중구 다산동,"13,410","6,831",1.96,"6,487","6,923",0.94
서울특별시 중구 약수동,"16,303","7,787",2.09,"7,521","8,782",0.86
서울특별시 중구 청구동,"13,110","6,186",2.12,"6,193","6,917",0.9
서울특별시 중구 신당제5동,"10,130","5,334",1.9,"4,905","5,225",0.94
서울특별시 중구 동화동,"9,984","3,977",2.51,"4,806","5,178",0.93
서울특별시 중구 황학동,"12,818","7,433",1.72,"6,079","6,739",0.9
서울특별시 중구 중림동,"11,957","5,734",2.09,"5,902","6,055",0.97
서울특별시 용산구,"217,438","109,717",1.98,"104,495","112,943",0.93
서울특별시 용산구 후암동,"16,172","8,284",1.95,"7,861","8,311",0.95
서울특별시 용산구 용산2가동,"9,006","5,092",1.77,"4,348","4,658",0.93
서울특별시 용산구 남영동,"6,989","4,973",1.41,"4,241","2,748",1.54
서울특별시 용산구 청파동,"19,070","11,149",1.71,"8,870","10,200",0.87
서울특별시 용산구 원효로제1동,"17,139","9,293",1.84,"7,975","9,164",0.87
서울특별시 용산구 원효로제2동,"13,690","6,181",2.21,"6,432","7,258",0.89
서울특별시 용산구 효창동,"10,769","4,734",2.27,"5,117","5,652",0.91
서울특별시 용산구 용문동,"11,464","5,319",2.16,"5,497","5,967",0.92
서울특별시 용산구 한강로동,"21,135","11,326",1.87,"10,024","11,111",0.9
서울특별시 용산구 이촌제1동,"25,015","9,156",2.73,"11,747","13,268",0.89
서울특별시 용산구 이촌제2동,"7,979","3,598",2.22,"3,729","4,250",0.88
서울특별시 용산구 이태원제1동,"6,108","3,477",1.76,"3,031","3,077",0.99
서울특별시 용산구 이태원제2동,"8,667","4,826",1.8,"4,050","4,617",0.88
서울특별시 용산구 한남동,"19,185","10,215",1.88,"9,268","9,917",0.93
서울특별시 용산구 서빙고동,"12,527","5,102",2.46,"6,038","6,489",0.93
서울특별시 용산구 보광동,"12,523","6,992",1.79,"6,267","6,256",1.0
서울특별시 성동구,"279,760","133,551",2.09,"135,931","143,829",0.95
서울특별시 성동구 왕십리제2동,"16,236","7,368",2.2,"7,816","8,420",0.93
서울특별시 성동구 왕십리도선동,"26,423","12,218",2.16,"12,431","13,992",0.89
서울특별시 성동구 마장동,"21,914","10,936",2.0,"10,817","11,097",0.97
서울특별시 성동구 사근동,"12,101","8,310",1.46,"6,341","5,760",1.1
서울특별시 성동구 행당제1동,"13,750","6,469",2.13,"6,602","7,148",0.92
서울특별시 성동구 행당제2동,"22,988","9,257",2.48,"10,707","12,281",0.87
서울특별시 성동구 응봉동,"14,959","5,949",2.51,"7,104","7,855",0.9
서울특별시 성동구 금호1가동,"14,947","6,538",2.29,"7,114","7,833",0.91
서울특별시 성동구 금호2.3가동,"22,073","9,892",2.23,"10,557","11,516",0.92
서울특별시 성동구 금호4가동,"14,264","6,405",2.23,"6,761","7,503",0.9
서울특별시 성동구 옥수동,"25,492","10,748",2.37,"11,824","13,668",0.87
서울특별시 성동구 성수1가제1동,"15,630","7,469",2.09,"7,781","7,849",0.99
서울특별시 성동구 성수1가제2동,"12,091","5,977",2.02,"5,912","6,179",0.96
서울특별시 성동구 성수2가제1동,"14,903","7,770",1.92,"7,734","7,169",1.08
서울특별시 성동구 성수2가제3동,"10,207","5,309",1.92,"5,105","5,102",1.0
서울특별시 성동구 송정동,"9,922","5,425",1.83,"5,244","4,678",1.12
서울특별시 성동구 용답동,"11,860","7,511",1.58,"6,081","5,779",1.05
서울특별시 광진구,"336,580","169,950",1.98,"162,020","174,560",0.93
서울특별시 광진구 화양동,"23,406","18,258",1.28,"11,106","12,300",0.9
서울특별시 광진구 군자동,"19,318","11,385",1.7,"9,553","9,765",0.98
서울특별시 광진구 중곡제1동,"15,416","8,657",1.78,"7,333","8,083",0.91
서울특별시 광진구 중곡제2동,"20,801","10,667",1.95,"9,807","10,994",0.89
서울특별시 광진구 중곡제3동,"15,906","8,584",1.85,"7,858","8,048",0.98
서울특별시 광진구 중곡제4동,"27,841","13,124",2.12,"13,588","14,253",0.95
서울특별시 광진구 능동,"11,180","6,463",1.73,"5,130","6,050",0.85
서울특별시 광진구 광장동,"34,061","11,824",2.88,"16,489","17,572",0.94
서울특별시 광진구 자양제1동,"22,134","12,093",1.83,"10,772","11,362",0.95
서울특별시 광진구 자양제2동,"23,745","10,837",2.19,"11,521","12,224",0.94
서울특별시 광진구 자양제3동,"27,434","11,004",2.49,"13,104","14,330",0.91
서울특별시 광진구 자양제4동,"17,958","10,270",1.75,"8,932","9,026",0.99
서울특별시 광진구 구의제1동,"23,365","13,139",1.78,"11,174","12,191",0.92
서울특별시 광진구 구의제2동,"25,875","11,517",2.25,"12,379","13,496",0.92
서울특별시 광진구 구의제3동,"28,140","12,128",2.32,"13,274","14,866",0.89
서울특별시 동대문구,"337,680","171,388",1.97,"165,868","171,812",0.97
서울특별시 동대문구 용신동,"35,437","20,608",1.72,"17,527","17,910",0.98
서울특별시 동대문구 제기동,"24,103","13,474",1.79,"12,340","11,763",1.05
서울특별시 동대문구 전농제1동,"28,722","14,850",1.93,"14,280","14,442",0.99
서울특별시 동대문구 전농제2동,"18,104","7,562",2.39,"8,670","9,434",0.92
서울특별시 동대문구 답십리제1동,"28,057","12,857",2.18,"13,516","14,541",0.93
서울특별시 동대문구 답십리제2동,"27,699","12,519",2.21,"13,392","14,307",0.94
서울특별시 동대문구 장안제1동,"37,814","18,410",2.05,"18,668","19,146",0.98
서울특별시 동대문구 장안제2동,"32,488","14,260",2.28,"16,115","16,373",0.98
서울특별시 동대문구 청량리동,"18,853","10,025",1.88,"9,343","9,510",0.98
서울특별시 동대문구 회기동,"10,513","6,751",1.56,"4,994","5,519",0.9
서울특별시 동대문구 휘경제1동,"13,943","7,823",1.78,"6,574","7,369",0.89
서울특별시 동대문구 휘경제2동,"24,445","12,788",1.91,"12,179","12,266",0.99
서울특별시 동대문구 이문제1동,"17,951","10,770",1.67,"8,884","9,067",0.98
서울특별시 동대문구 이문제2동,"19,551","8,691",2.25,"9,386","10,165",0.92
서울특별시 중랑구,"384,650","188,020",2.05,"189,019","195,631",0.97
서울특별시 중랑구 면목제2동,"23,770","12,237",1.94,"11,830","11,940",0.99
서울특별시 중랑구 면목제4동,"18,370","8,954",2.05,"9,142","9,228",0.99
서울특별시 중랑구 면목제5동,"14,696","6,457",2.28,"7,354","7,342",1.0
서울특별시 중랑구 면목본동,"32,958","17,770",1.85,"16,259","16,699",0.97
서울특별시 중랑구 면목제7동,"21,416","10,614",2.02,"10,692","10,724",1.0
서울특별시 중랑구 면목제3.8동,"24,650","12,850",1.92,"12,211","12,439",0.98
서울특별시 중랑구 상봉제1동,"23,367","10,116",2.31,"11,350","12,017",0.94
서울특별시 중랑구 상봉제2동,"20,247","12,387",1.63,"9,725","10,522",0.92
서울특별시 중랑구 중화제1동,"18,987","8,977",2.12,"9,332","9,655",0.97
서울특별시 중랑구 중화제2동,"24,255","13,620",1.78,"12,455","11,800",1.06
서울특별시 중랑구 묵제1동,"33,929","14,978",2.27,"16,208","17,721",0.91
서울특별시 중랑구 묵제2동,"18,355","9,282",1.98,"8,976","9,379",0.96
서울특별시 중랑구 망우본동,"35,607","17,682",2.01,"17,587","18,020",0.98
서울특별시 중랑구 망우제3동,"15,847","8,218",1.93,"7,958","7,889",1.01
서울특별시 중랑구 신내1동,"38,326","14,936",2.57,"18,515","19,811",0.93
서울특별시 중랑구 신내2동,"19,870","8,942",2.22,"9,425","10,445",0.9
서울특별시 성북구,"429,689","197,906",2.17,"206,319","223,370",0.92
서울특별시 성북구 성북동,"16,091","8,155",1.97,"7,474","8,617",0.87
서울특별시 성북구 삼선동,"22,466","11,521",1.95,"10,662","11,804",0.9
서울특별시 성북구 동선동,"15,030","9,612",1.56,"6,206","8,824",0.7
서울특별시 성북구 돈암제1동,"14,349","6,056",2.37,"6,684","7,665",0.87
서울특별시 성북구 돈암제2동,"23,528","8,532",2.76,"11,126","12,402",0.9
서울특별시 성북구 안암동,"15,120","9,937",1.52,"7,618","7,502",1.02
서울특별시 성북구 보문동,"16,305","8,150",2.0,"7,801","8,504",0.92
서울특별시 성북구 정릉제1동,"17,861","7,355",2.43,"8,553","9,308",0.92
서울특별시 성북구 정릉제2동,"22,675","9,924",2.28,"10,953","11,722",0.93
서울특별시 성북구 정릉제3동,"15,154","8,290",1.83,"7,553","7,601",0.99
서울특별시 성북구 정릉제4동,"24,338","10,806",2.25,"11,652","12,686",0.92
서울특별시 성북구 길음제1동,"34,801","12,449",2.8,"16,463","18,338",0.9
서울특별시 성북구 길음제2동,"21,844","8,746",2.5,"10,475","11,369",0.92
서울특별시 성북구 종암동,"38,048","17,170",2.22,"18,794","19,254",0.98
서울특별시 성북구 월곡제1동,"25,859","10,840",2.39,"12,472","13,387",0.93
서울특별시 성북구 월곡제2동,"19,169","9,756",1.96,"9,135","10,034",0.91
서울특별시 성북구 장위제1동,"23,732","10,680",2.22,"11,540","12,192",0.95
서울특별시 성북구 장위제2동,"13,286","6,631",2.0,"6,507","6,779",0.96
서울특별시 성북구 장위제3동,"15,788","6,530",2.42,"7,748","8,040",0.96
서울특별시 성북구 석관동,"34,245","16,766",2.04,"16,903","17,342",0.97
서울특별시 강북구,"291,959","144,577",2.02,"141,577","150,382",0.94
서울특별시 강북구 삼양동,"22,746","10,899",2.09,"11,327","11,419",0.99
서울특별시 강북구 미아동,"21,095","11,716",1.8,"10,096","10,999",0.92
서울특별시 강북구 송중동,"28,997","13,943",2.08,"13,992","15,005",0.93
서울특별시 강북구 송천동,"25,229","13,256",1.9,"12,510","12,719",0.98
서울특별시 강북구 삼각산동,"30,735","11,525",2.67,"14,750","15,985",0.92
서울특별시 강북구 번1동,"18,003","10,419",1.73,"9,014","8,989",1.0
서울특별시 강북구 번2동,"15,142","7,471",2.03,"7,282","7,860",0.93
서울특별시 강북구 번3동,"16,462","7,626",2.16,"7,678","8,784",0.87
서울특별시 강북구 수유1동,"20,146","10,477",1.92,"9,865","10,281",0.96
서울특별시 강북구 수유2동,"20,797","9,863",2.11,"9,882","10,915",0.91
서울특별시 강북구 수유3동,"23,014","13,498",1.7,"11,328","11,686",0.97
서울특별시 강북구 우이동,"20,098","9,607",2.09,"9,642","10,456",0.92
서울특별시 강북구 인수동,"29,495","14,277",2.07,"14,211","15,284",0.93
서울특별시 도봉구,"309,622","138,289",2.24,"150,317","159,305",0.94
서울특별시 도봉구 창제1동,"24,221","10,978",2.21,"11,553","12,668",0.91
서울특별시 도봉구 창제2동,"28,458","12,581",2.26,"13,824","14,634",0.94
서울특별시 도봉구 창제3동,"13,392","6,458",2.07,"6,665","6,727",0.99
서울특별시 도봉구 창제4동,"25,925","10,550",2.46,"12,441","13,484",0.92
서울특별시 도봉구 창제5동,"24,050","10,273",2.34,"11,492","12,558",0.92
서울특별시 도봉구 도봉제1동,"20,295","10,260",1.98,"10,154","10,141",1.0
서울특별시 도봉구 도봉제2동,"26,039","11,728",2.22,"12,735","13,304",0.96
서울특별시 도봉구 쌍문제1동,"20,906","9,458",2.21,"10,004","10,902",0.92
서울특별시 도봉구 쌍문제2동,"18,210","8,556",2.13,"8,671","9,539",0.91
서울특별시 도봉구 쌍문제3동,"16,667","8,241",2.02,"8,011","8,656",0.93
서울특별시 도봉구 쌍문제4동,"18,204","7,080",2.57,"8,583","9,621",0.89
서울특별시 도봉구 방학제1동,"28,029","12,966",2.16,"13,883","14,146",0.98
서울특별시 도봉구 방학제2동,"18,882","9,230",2.05,"9,552","9,330",1.02
서울특별시 도봉구 방학제3동,"26,344","9,930",2.65,"12,749","13,595",0.94
서울특별시 노원구,"501,237","218,187",2.3,"240,844","260,393",0.92
서울특별시 노원구 월계1동,"20,822","10,053",2.07,"10,691","10,131",1.06
서울특별시 노원구 월계2동,"25,859","11,789",2.19,"12,418","13,441",0.92
서울특별시 노원구 월계3동,"28,992","12,893",2.25,"13,880","15,112",0.92
서울특별시 노원구 공릉1동,"36,275","18,607",1.95,"17,568","18,707",0.94
서울특별시 노원구 공릉2동,"41,781","17,810",2.35,"20,340","21,441",0.95
서울특별시 노원구 하계1동,"26,829","12,618",2.13,"12,869","13,960",0.92
서울특별시 노원구 하계2동,"21,401","8,168",2.62,"10,164","11,237",0.9
서울특별시 노원구 중계본동,"23,159","8,174",2.83,"11,237","11,922",0.94
서울특별시 노원구 중계1동,"26,395","8,920",2.96,"12,888","13,507",0.95
서울특별시 노원구 중계4동,"19,389","8,241",2.35,"9,286","10,103",0.92
서울특별시 노원구 중계2.3동,"33,023","15,073",2.19,"15,125","17,898",0.85
서울특별시 노원구 상계1동,"37,408","15,637",2.39,"18,034","19,374",0.93
서울특별시 노원구 상계2동,"19,419","8,617",2.25,"9,557","9,862",0.97
서울특별시 노원구 상계3.4동,"25,024","11,603",2.16,"12,473","12,551",0.99
서울특별시 노원구 상계5동,"23,355","10,948",2.13,"11,326","12,029",0.94
서울특별시 노원구 상계6.7동,"31,827","13,909",2.29,"14,690","17,137",0.86
서울특별시 노원구 상계8동,"22,106","9,138",2.42,"10,555","11,551",0.91
서울특별시 노원구 상계9동,"19,860","8,340",2.38,"9,301","10,559",0.88
서울특별시 노원구 상계10동,"18,313","7,649",2.39,"8,442","9,871",0.86
서울특별시 은평구,"463,612","213,830",2.17,"220,559","243,053",0.91
서울특별시 은평구 녹번동,"36,358","17,668",2.06,"17,093","19,265",0.89
서울특별시 은평구 불광제1동,"37,765","17,755",2.13,"17,723","20,042",0.88
서울특별시 은평구 불광제2동,"27,045","14,110",1.92,"13,039","14,006",0.93
서울특별시 은평구 갈현제1동,"14,942","7,566",1.97,"7,270","7,672",0.95
서울특별시 은평구 갈현제2동,"27,726","12,576",2.2,"13,098","14,628",0.9
서울특별시 은평구 구산동,"31,690","13,533",2.34,"15,408","16,282",0.95
서울특별시 은평구 대조동,"27,212","15,137",1.8,"12,602","14,610",0.86
서울특별시 은평구 응암제1동,"32,907","15,104",2.18,"15,437","17,470",0.88
서울특별시 은평구 응암제2동,"27,680","11,218",2.47,"13,382","14,298",0.94
서울특별시 은평구 응암제3동,"23,680","12,556",1.89,"11,405","12,275",0.93
서울특별시 은평구 역촌동,"44,380","20,785",2.14,"20,835","23,545",0.88
서울특별시 은평구 신사제1동,"26,661","12,036",2.22,"12,797","13,864",0.92
서울특별시 은평구 신사제2동,"19,186","8,757",2.19,"9,532","9,654",0.99
서울특별시 은평구 증산동,"18,476","8,023",2.3,"8,982","9,494",0.95
서울특별시 은평구 수색동,"13,161","5,591",2.35,"6,420","6,741",0.95
서울특별시 은평구 진관동,"54,743","21,415",2.56,"25,536","29,207",0.87
서울특별시 서대문구,"308,208","147,197",2.09,"146,572","161,636",0.91
서울특별시 서대문구 천연동,"16,708","7,643",2.19,"7,871","8,837",0.89
서울특별시 서대문구 북아현동,"15,536","7,086",2.19,"7,442","8,094",0.92
서울특별시 서대문구 충현동,"19,815","10,105",1.96,"9,541","10,274",0.93
서울특별시 서대문구 신촌동,"20,365","14,898",1.37,"8,833","11,532",0.77
서울특별시 서대문구 연희동,"34,271","18,699",1.83,"16,360","17,911",0.91
서울특별시 서대문구 홍제제1동,"24,840","11,036",2.25,"11,606","13,234",0.88
서울특별시 서대문구 홍제제3동,"17,760","8,008",2.22,"8,511","9,249",0.92
서울특별시 서대문구 홍제제2동,"13,243","5,776",2.29,"6,184","7,059",0.88
서울특별시 서대문구 홍은제1동,"22,403","9,772",2.29,"10,815","11,588",0.93
서울특별시 서대문구 홍은제2동,"28,759","13,231",2.17,"13,808","14,951",0.92
서울특별시 서대문구 남가좌제1동,"16,729","6,168",2.71,"8,006","8,723",0.92
서울특별시 서대문구 남가좌제2동,"29,262","13,372",2.19,"14,136","15,126",0.93
서울특별시 서대문구 북가좌제1동,"17,702","6,835",2.59,"8,478","9,224",0.92
서울특별시 서대문구 북가좌제2동,"30,815","14,568",2.12,"14,981","15,834",0.95
서울특별시 마포구,"365,283","181,093",2.02,"170,922","194,361",0.88
서울특별시 마포구 아현동,"28,104","11,762",2.39,"13,152","14,952",0.88
서울특별시 마포구 공덕동,"36,741","18,667",1.97,"17,166","19,575",0.88
서울특별시 마포구 도화동,"20,679","9,309",2.22,"9,808","10,871",0.9
서울특별시 마포구 용강동,"21,291","9,282",2.29,"10,049","11,242",0.89
서울특별시 마포구 대흥동,"14,475","8,794",1.65,"7,044","7,431",0.95
서울특별시 마포구 염리동,"16,795","7,796",2.15,"8,021","8,774",0.91
서울특별시 마포구 신수동,"22,173","10,002",2.22,"10,809","11,364",0.95
서울특별시 마포구 서강동,"24,646","12,143",2.03,"11,731","12,915",0.91
서울특별시 마포구 서교동,"24,352","15,379",1.58,"11,073","13,279",0.83
서울특별시 마포구 합정동,"16,548","9,245",1.79,"7,613","8,935",0.85
서울특별시 마포구 망원제1동,"19,291","10,176",1.9,"8,979","10,312",0.87
서울특별시 마포구 망원제2동,"18,156","8,393",2.16,"8,466","9,690",0.87
서울특별시 마포구 연남동,"14,432","8,456",1.71,"6,814","7,618",0.89
서울특별시 마포구 성산제1동,"18,656","9,456",1.97,"8,722","9,934",0.88
서울특별시 마포구 성산제2동,"38,987","19,504",2.0,"17,375","21,612",0.8
서울특별시 마포구 상암동,"29,957","12,729",2.35,"14,100","15,857",0.89
서울특별시 양천구,"438,641","181,169",2.42,"214,331","224,310",0.96
서울특별시 양천구 목1동,"30,218","10,317",2.93,"14,506","15,712",0.92
서울특별시 양천구 목2동,"29,090","13,354",2.18,"14,056","15,034",0.93
서울특별시 양천구 목3동,"21,408","10,086",2.12,"10,204","11,204",0.91
서울특별시 양천구 목4동,"24,664","10,035",2.46,"12,064","12,600",0.96
서울특별시 양천구 목5동,"40,453","13,367",3.03,"20,016","20,437",0.98
서울특별시 양천구 신월1동,"19,820","10,209",1.94,"10,149","9,671",1.05
서울특별시 양천구 신월2동,"20,713","8,626",2.4,"10,100","10,613",0.95
서울특별시 양천구 신월3동,"14,605","7,820",1.87,"7,676","6,929",1.11
서울특별시 양천구 신월4동,"17,543","6,858",2.56,"8,527","9,016",0.95
서울특별시 양천구 신월5동,"14,179","6,404",2.21,"7,038","7,141",0.99
서울특별시 양천구 신월6동,"13,893","5,381",2.58,"6,783","7,110",0.95
서울특별시 양천구 신월7동,"18,807","8,981",2.09,"9,173","9,634",0.95
서울특별시 양천구 신정1동,"19,802","6,986",2.83,"9,620","10,182",0.94
서울특별시 양천구 신정2동,"18,817","6,857",2.74,"9,250","9,567",0.97
서울특별시 양천구 신정3동,"50,092","19,805",2.53,"24,241","25,851",0.94
서울특별시 양천구 신정4동,"32,238","16,419",1.96,"15,687","16,551",0.95
서울특별시 양천구 신정6동,"23,945","8,168",2.93,"11,626","12,319",0.94
서울특별시 양천구 신정7동,"28,354","11,496",2.47,"13,615","14,739",0.92
서울특별시 강서구,"567,237","274,425",2.07,"272,061","295,176",0.92
서울특별시 강서구 염창동,"41,364","16,503",2.51,"19,895","21,469",0.93
서울특별시 강서구 등촌제1동,"24,819","14,140",1.76,"11,447","13,372",0.86
서울특별시 강서구 등촌제2동,"19,528","8,549",2.28,"9,497","10,031",0.95
서울특별시 강서구 등촌제3동,"29,590","15,062",1.96,"13,991","15,599",0.9
서울특별시 강서구 화곡제1동,"51,683","28,470",1.82,"25,110","26,573",0.94
서울특별시 강서구 화곡제2동,"17,378","8,250",2.11,"8,377","9,001",0.93
서울특별시 강서구 화곡제3동,"21,298","9,726",2.19,"10,137","11,161",0.91
서울특별시 강서구 화곡제4동,"19,975","9,699",2.06,"9,804","10,171",0.96
서울특별시 강서구 화곡본동,"33,422","17,452",1.92,"16,158","17,264",0.94
서울특별시 강서구 화곡제6동,"24,913","13,140",1.9,"11,904","13,009",0.92
서울특별시 강서구 화곡제8동,"23,806","11,822",2.01,"11,478","12,328",0.93
서울특별시 강서구 가양제1동,"34,056","20,885",1.63,"15,416","18,640",0.83
서울특별시 강서구 가양제2동,"13,649","8,054",1.69,"6,422","7,227",0.89
서울특별시 강서구 가양제3동,"14,428","7,776",1.86,"6,664","7,764",0.86
서울특별시 강서구 발산제1동,"35,861","13,537",2.65,"16,879","18,982",0.89
서울특별시 강서구 우장산동,"43,719","16,716",2.62,"20,910","22,809",0.92
서울특별시 강서구 공항동,"30,101","13,920",2.16,"15,247","14,854",1.03
서울특별시 강서구 방화제1동,"42,514","17,342",2.45,"20,696","21,818",0.95
서울특별시 강서구 방화제2동,"22,876","12,121",1.89,"11,306","11,570",0.98
서울특별시 강서구 방화제3동,"22,257","11,261",1.98,"10,723","11,534",0.93
서울특별시 구로구,"394,973","184,498",2.14,"193,810","201,163",0.96
서울특별시 구로구 신도림동,"35,726","13,971",2.56,"17,238","18,488",0.93
서울특별시 구로구 구로제1동,"20,605","8,345",2.47,"10,060","10,545",0.95
서울특별시 구로구 구로제2동,"22,885","12,309",1.86,"11,487","11,398",1.01
서울특별시 구로구 구로제3동,"23,387","13,669",1.71,"12,051","11,336",1.06
서울특별시 구로구 구로제4동,"19,000","10,481",1.81,"9,167","9,833",0.93
서울특별시 구로구 구로제5동,"29,346","15,697",1.87,"14,219","15,127",0.94
서울특별시 구로구 가리봉동,"8,937","6,165",1.45,"4,886","4,051",1.21
서울특별시 구로구 고척제1동,"26,087","11,463",2.28,"13,013","13,074",1.0
서울특별시 구로구 고척제2동,"26,010","11,462",2.27,"12,836","13,174",0.97
서울특별시 구로구 개봉제1동,"33,355","14,981",2.23,"16,584","16,771",0.99
서울특별시 구로구 개봉제2동,"30,157","12,478",2.42,"14,646","15,511",0.94
서울특별시 구로구 개봉제3동,"19,824","8,753",2.26,"9,610","10,214",0.94
서울특별시 구로구 오류제1동,"22,640","12,665",1.79,"10,811","11,829",0.91
서울특별시 구로구 오류제2동,"37,739","15,819",2.39,"18,012","19,727",0.91
서울특별시 구로구 수궁동,"22,871","9,957",2.3,"11,215","11,656",0.96
서울특별시 구로구 항동,"16,404","6,283",2.61,"7,975","8,429",0.95
서울특별시 금천구,"229,251","120,423",1.9,"115,453","113,798",1.01
서울특별시 금천구 가산동,"24,559","17,873",1.37,"13,219","11,340",1.17
서울특별시 금천구 독산제1동,"46,285","24,900",1.86,"23,600","22,685",1.04
서울특별시 금천구 독산제2동,"18,082","9,433",1.92,"9,107","8,975",1.01
서울특별시 금천구 독산제3동,"23,912","12,919",1.85,"11,968","11,944",1.0
서울특별시 금천구 독산제4동,"14,794","7,639",1.94,"7,435","7,359",1.01
서울특별시 금천구 시흥제1동,"32,312","16,326",1.98,"16,080","16,232",0.99
서울특별시 금천구 시흥제2동,"20,626","8,249",2.5,"9,854","10,772",0.91
서울특별시 금천구 시흥제3동,"10,410","4,667",2.23,"5,144","5,266",0.98
서울특별시 금천구 시흥제4동,"19,791","9,152",2.16,"9,787","10,004",0.98
서울특별시 금천구 시흥제5동,"18,480","9,265",1.99,"9,259","9,221",1.0
서울특별시 영등포구,"376,347","190,437",1.98,"184,761","191,586",0.96
서울특별시 영등포구 영등포본동,"20,936","10,418",2.01,"10,741","10,195",1.05
서울특별시 영등포구 영등포동,"30,352","21,680",1.4,"15,593","14,759",1.06
서울특별시 영등포구 여의동,"32,592","13,351",2.44,"15,293","17,299",0.88
서울특별시 영등포구 당산제1동,"20,837","11,440",1.82,"10,103","10,734",0.94
서울특별시 영등포구 당산제2동,"36,766","18,917",1.94,"17,158","19,608",0.88
서울특별시 영등포구 도림동,"17,710","9,594",1.85,"8,944","8,766",1.02
서울특별시 영등포구 문래동,"32,193","13,120",2.45,"15,687","16,506",0.95
서울특별시 영등포구 양평제1동,"18,286","9,922",1.84,"8,851","9,435",0.94
서울특별시 영등포구 양평제2동,"22,499","11,007",2.04,"10,938","11,561",0.95
서울특별시 영등포구 신길제1동,"19,414","11,608",1.67,"9,801","9,613",1.02
서울특별시 영등포구 신길제3동,"16,266","7,597",2.14,"8,005","8,261",0.97
서울특별시 영등포구 신길제4동,"12,341","5,801",2.13,"6,113","6,228",0.98
서울특별시 영등포구 신길제5동,"10,151","4,648",2.18,"4,916","5,235",0.94
서울특별시 영등포구 신길제6동,"18,446","9,046",2.04,"8,999","9,447",0.95
서울특별시 영등포구 신길제7동,"19,792","7,872",2.51,"9,874","9,918",1.0
서울특별시 영등포구 대림제1동,"14,004","6,990",2.0,"6,973","7,031",0.99
서울특별시 영등포구 대림제2동,"11,944","7,021",1.7,"5,867","6,077",0.97
서울특별시 영등포구 대림제3동,"21,818","10,405",2.1,"10,905","10,913",1.0
서울특별시 동작구,"380,594","186,980",2.04,"184,116","196,478",0.94
서울특별시 동작구 노량진제1동,"31,918","16,719",1.91,"16,166","15,752",1.03
서울특별시 동작구 노량진제2동,"10,522","6,905",1.52,"5,509","5,013",1.1
서울특별시 동작구 상도제1동,"44,383","22,658",1.96,"21,544","22,839",0.94
서울특별시 동작구 상도제2동,"27,668","12,564",2.2,"13,247","14,421",0.92
서울특별시 동작구 상도제3동,"24,126","12,220",1.97,"11,465","12,661",0.91
서울특별시 동작구 상도제4동,"28,063","14,165",1.98,"13,641","14,422",0.95
서울특별시 동작구 흑석동,"29,663","12,974",2.29,"14,475","15,188",0.95
서울특별시 동작구 사당제1동,"22,526","13,735",1.64,"10,839","11,687",0.93
서울특별시 동작구 사당제2동,"28,312","12,594",2.25,"13,559","14,753",0.92
서울특별시 동작구 사당제3동,"23,951","10,541",2.27,"11,573","12,378",0.93
서울특별시 동작구 사당제4동,"13,895","7,281",1.91,"6,631","7,264",0.91
